user_id,game_name,lifetime_days,payment_month,first_payment_month,mrr,new_paid_users,new_mrr,churned_users,churned_revenue,expansion_revenue,contraction_revenue,language,old_device,age
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-04-01,2022-04-01,12.03,1,12.03,,,,,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-05-01,2022-04-01,28.32,0,,,,16.29,,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-06-01,2022-04-01,29.07,0,,,,0.75,,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-07-01,2022-04-01,25.23,0,,,,,-3.84,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-08-01,2022-04-01,18.9,0,,,,,-6.33,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-09-01,2022-04-01,48.72,0,,,,29.82,,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-10-01,2022-04-01,25.74,0,,,,,-22.98,ru,false,34
06RPvlsFPCmM9ag+iSM/Ag==,game 3,236,2022-11-01,2022-04-01,39.78,0,,1,39.78,14.04,,ru,false,34
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-05-01,2022-05-01,13.8,1,13.8,,,,,uk,false,31
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-06-01,2022-05-01,48.21,0,,,,34.41,,uk,false,31
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-07-01,2022-05-01,52.77,0,,,,4.56,,uk,false,31
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-08-01,2022-05-01,40.83,0,,,,,-11.94,uk,false,31
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-09-01,2022-05-01,35.49,0,,,,,-5.34,uk,false,31
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-10-01,2022-05-01,35.73,0,,,,0.24,,uk,false,31
0A5RkQrm+GBgG7KSFk/xhw==,game 3,184,2022-11-01,2022-05-01,72.93,0,,1,72.93,37.20,,uk,false,31
0afix9qVNfU3GJY1n0QGkw==,game 3,30,2022-09-01,2022-09-01,32.28,1,32.28,,,,,uk,false,25
0afix9qVNfU3GJY1n0QGkw==,game 3,30,2022-10-01,2022-09-01,13.23,0,,1,13.23,,-19.05,uk,false,25
0dJXy70SFjxVR6YgOPZzMQ==,game 3,0,2022-11-01,2022-11-01,17.19,1,17.19,1,17.19,,,uk,false,27
14RMzQMoG017OLkaDBFjng==,game 3,135,2022-07-01,2022-07-01,14.43,1,14.43,1,14.43,,,uk,false,36
14RMzQMoG017OLkaDBFjng==,game 3,135,2022-11-01,2022-07-01,12.75,0,,1,12.75,,,uk,false,36
1BBMagZRq/39AV1l2rm4Iw==,game 3,111,2022-08-01,2022-08-01,89.04,1,89.04,,,,,ru,false,23
1BBMagZRq/39AV1l2rm4Iw==,game 3,111,2022-09-01,2022-08-01,34.8,0,,,,,-54.24,ru,false,23
1BBMagZRq/39AV1l2rm4Iw==,game 3,111,2022-10-01,2022-08-01,55.80,0,,,,21.00,,ru,false,23
1BBMagZRq/39AV1l2rm4Iw==,game 3,111,2022-11-01,2022-08-01,148.14,0,,1,148.14,92.34,,ru,false,23
1dvc3uv3gFy83YY5oJeFkQ==,game 3,10,2022-08-01,2022-08-01,45.93,1,45.93,1,45.93,,,uk,false,17
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-06-01,2022-06-01,56.13,1,56.13,,,,,ru,false,25
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-07-01,2022-06-01,16.29,0,,,,,-39.84,ru,false,25
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-08-01,2022-06-01,21.18,0,,,,4.89,,ru,false,25
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-09-01,2022-06-01,13.71,0,,,,,-7.47,ru,false,25
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-10-01,2022-06-01,46.98,0,,,,33.27,,ru,false,25
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-11-01,2022-06-01,20.13,0,,,,,-26.85,ru,false,25
1jx1AjqUwE9sbCyafQnUNQ==,game 3,192,2022-12-01,2022-06-01,38.37,0,,1,38.37,18.24,,ru,false,25
1KzlDBp5hORL7Y5PBaB+0g==,game 3,88,2022-09-01,2022-09-01,58.20,1,58.20,,,,,uk,false,22
1KzlDBp5hORL7Y5PBaB+0g==,game 3,88,2022-10-01,2022-09-01,77.19,0,,,,18.99,,uk,false,22
1KzlDBp5hORL7Y5PBaB+0g==,game 3,88,2022-11-01,2022-09-01,63.27,0,,,,,-13.92,uk,false,22
1KzlDBp5hORL7Y5PBaB+0g==,game 3,88,2022-12-01,2022-09-01,21.72,0,,1,21.72,,-41.55,uk,false,22
1tIsLi6U0zW1RIuaViNanA==,game 3,85,2022-09-01,2022-09-01,33.36,1,33.36,,,,,uk,false,20
1tIsLi6U0zW1RIuaViNanA==,game 3,85,2022-10-01,2022-09-01,29.25,0,,,,,-4.11,uk,false,20
1tIsLi6U0zW1RIuaViNanA==,game 3,85,2022-11-01,2022-09-01,18.15,0,,,,,-11.10,uk,false,20
1tIsLi6U0zW1RIuaViNanA==,game 3,85,2022-12-01,2022-09-01,69.48,0,,1,69.48,51.33,,uk,false,20
29qvbD06oXdmg5G7X/Wigw==,game 3,0,2022-12-01,2022-12-01,24.51,1,24.51,1,24.51,,,uk,false,17
2be8IOVjt9pzDDEVqZwIKQ==,game 3,48,2022-10-01,2022-10-01,27.0,1,27.0,1,27.0,,,ru,false,25
2be8IOVjt9pzDDEVqZwIKQ==,game 3,48,2022-12-01,2022-10-01,69.96,0,,1,69.96,,,ru,false,25
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-04-01,2022-04-01,56.85,1,56.85,,,,,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-05-01,2022-04-01,30.33,0,,,,,-26.52,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-06-01,2022-04-01,22.47,0,,,,,-7.86,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-07-01,2022-04-01,24.84,0,,,,2.37,,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-08-01,2022-04-01,14.19,0,,1,14.19,,-10.65,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-10-01,2022-04-01,42.84,0,,,,,,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-11-01,2022-04-01,29.13,0,,,,,-13.71,ru,false,20
2FYEYdoJMUOtbJ6TruruWA==,game 3,238,2022-12-01,2022-04-01,14.13,0,,1,14.13,,-15.00,ru,false,20
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,48,2022-09-01,2022-09-01,14.04,1,14.04,,,,,ru,false,18
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,48,2022-10-01,2022-09-01,56.04,0,,,,42.00,,ru,false,18
2KL9Q4TKLCcD4cngwhx6Dg==,game 3,48,2022-11-01,2022-09-01,24.84,0,,1,24.84,,-31.20,ru,false,18
2onLVyXEEj2aH+D4N9ldYQ==,game 3,135,2022-08-01,2022-08-01,50.04,1,50.04,1,50.04,,,uk,false,16
2onLVyXEEj2aH+D4N9ldYQ==,game 3,135,2022-10-01,2022-08-01,42.72,0,,,,,,uk,false,16
2onLVyXEEj2aH+D4N9ldYQ==,game 3,135,2022-11-01,2022-08-01,22.68,0,,,,,-20.04,uk,false,16
2onLVyXEEj2aH+D4N9ldYQ==,game 3,135,2022-12-01,2022-08-01,106.38,0,,1,106.38,83.70,,uk,false,16
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-04-01,2022-04-01,54.96,1,54.96,,,,,uk,false,23
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-05-01,2022-04-01,72.06,0,,,,17.10,,uk,false,23
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-06-01,2022-04-01,25.35,0,,,,,-46.71,uk,false,23
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-07-01,2022-04-01,38.10,0,,1,38.10,12.75,,uk,false,23
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-09-01,2022-04-01,12.12,0,,,,,,uk,false,23
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-10-01,2022-04-01,21.87,0,,,,9.75,,uk,false,23
2Tm77AxZ7h7oCNKgCgMpnQ==,game 3,228,2022-11-01,2022-04-01,15.99,0,,1,15.99,,-5.88,uk,false,23
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-03-01,2022-03-01,23.76,1,23.76,,,,,ru,false,16
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-04-01,2022-03-01,81.42,0,,,,57.66,,ru,false,16
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-05-01,2022-03-01,15.69,0,,,,,-65.73,ru,false,16
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-06-01,2022-03-01,34.35,0,,,,18.66,,ru,false,16
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-07-01,2022-03-01,50.58,0,,,,16.23,,ru,false,16
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-08-01,2022-03-01,97.08,0,,,,46.50,,ru,false,16
3iITAz/ADjFv3PDTgTjxSg==,game 3,165,2022-09-01,2022-03-01,18.72,0,,1,18.72,,-78.36,ru,false,16
3KHhqZr7/1n2+bTP13WuXA==,game 3,143,2022-06-01,2022-06-01,74.85,1,74.85,1,74.85,,,uk,false,16
3KHhqZr7/1n2+bTP13WuXA==,game 3,143,2022-08-01,2022-06-01,20.19,0,,,,,,uk,false,16
3KHhqZr7/1n2+bTP13WuXA==,game 3,143,2022-09-01,2022-06-01,48.27,0,,,,28.08,,uk,false,16
3KHhqZr7/1n2+bTP13WuXA==,game 3,143,2022-10-01,2022-06-01,29.22,0,,1,29.22,,-19.05,uk,false,16
3KSfEl7FcP/+5FSUNXs5Aw==,game 3,0,2022-10-01,2022-10-01,23.31,1,23.31,1,23.31,,,ru,false,28
3OXz+Ar2gN+zfGLZTRCVMQ==,game 3,0,2022-12-01,2022-12-01,18.9,1,18.9,1,18.9,,,uk,false,16
3rCdNEPkh3vwmYB0BVadEw==,game 3,87,2022-05-01,2022-05-01,22.86,1,22.86,1,22.86,,,ru,false,27
3rCdNEPkh3vwmYB0BVadEw==,game 3,87,2022-07-01,2022-05-01,21.87,0,,,,,,ru,false,27
3rCdNEPkh3vwmYB0BVadEw==,game 3,87,2022-08-01,2022-05-01,17.34,0,,1,17.34,,-4.53,ru,false,27
3TfpxDVNF0T+g4S60EOCBw==,game 3,0,2022-11-01,2022-11-01,15.27,1,15.27,1,15.27,,,uk,false,28
3v8rT35Ra6ui/zatnMoTIw==,game 3,52,2022-11-01,2022-11-01,17.85,1,17.85,,,,,uk,false,28
3v8rT35Ra6ui/zatnMoTIw==,game 3,52,2022-12-01,2022-11-01,43.62,0,,1,43.62,25.77,,uk,false,28
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-04-01,2022-04-01,59.67,1,59.67,,,,,uk,true,21
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-05-01,2022-04-01,12.36,0,,,,,-47.31,uk,true,21
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-06-01,2022-04-01,20.13,0,,,,7.77,,uk,true,21
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-07-01,2022-04-01,15.78,0,,,,,-4.35,uk,true,21
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-08-01,2022-04-01,17.16,0,,,,1.38,,uk,true,21
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-09-01,2022-04-01,19.74,0,,1,19.74,2.58,,uk,true,21
3Whh6FLR1MSfsuHKVdCEYQ==,game 3,252,2022-12-01,2022-04-01,26.73,0,,1,26.73,,,uk,true,21
3Xuq0acIoGEgw19qflIoog==,game 3,124,2022-06-01,2022-06-01,12.69,1,12.69,,,,,uk,false,25
3Xuq0acIoGEgw19qflIoog==,game 3,124,2022-07-01,2022-06-01,41.73,0,,,,29.04,,uk,false,25
3Xuq0acIoGEgw19qflIoog==,game 3,124,2022-08-01,2022-06-01,19.86,0,,,,,-21.87,uk,false,25
3Xuq0acIoGEgw19qflIoog==,game 3,124,2022-09-01,2022-06-01,34.32,0,,,,14.46,,uk,false,25
3Xuq0acIoGEgw19qflIoog==,game 3,124,2022-10-01,2022-06-01,30.9,0,,1,30.9,,-3.42,uk,false,25
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-03-01,2022-03-01,27.15,1,27.15,,,,,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-04-01,2022-03-01,14.94,0,,,,,-12.21,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-05-01,2022-03-01,26.40,0,,,,11.46,,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-06-01,2022-03-01,22.83,0,,,,,-3.57,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-07-01,2022-03-01,89.28,0,,,,66.45,,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-08-01,2022-03-01,16.56,0,,,,,-72.72,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-09-01,2022-03-01,18.24,0,,1,18.24,1.68,,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-11-01,2022-03-01,31.26,0,,,,,,uk,true,20
4b7l8C489HEJirtoe7xtFg==,game 3,274,2022-12-01,2022-03-01,21.75,0,,1,21.75,,-9.51,uk,true,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-03-01,2022-03-01,17.79,1,17.79,,,,,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-04-01,2022-03-01,125.97,0,,,,108.18,,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-05-01,2022-03-01,91.68,0,,,,,-34.29,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-06-01,2022-03-01,27.87,0,,,,,-63.81,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-07-01,2022-03-01,40.71,0,,,,12.84,,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-08-01,2022-03-01,47.91,0,,,,7.20,,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-09-01,2022-03-01,23.34,0,,1,23.34,,-24.57,ru,false,20
4btLP2zvi8eBV0t08fdkKQ==,game 3,260,2022-12-01,2022-03-01,92.10,0,,1,92.10,,,ru,false,20
4EiWC2ewiX2A7i9NuBAefQ==,game 3,40,2022-09-01,2022-09-01,18.69,1,18.69,,,,,uk,true,18
4EiWC2ewiX2A7i9NuBAefQ==,game 3,40,2022-10-01,2022-09-01,57.39,0,,,,38.70,,uk,true,18
4EiWC2ewiX2A7i9NuBAefQ==,game 3,40,2022-11-01,2022-09-01,29.79,0,,1,29.79,,-27.60,uk,true,18
4oH5e29koOH9zNYW8Kwcsg==,game 3,80,2022-05-01,2022-05-01,12.99,1,12.99,1,12.99,,,uk,false,28
4oH5e29koOH9zNYW8Kwcsg==,game 3,80,2022-07-01,2022-05-01,18.06,0,,,,,,uk,false,28
4oH5e29koOH9zNYW8Kwcsg==,game 3,80,2022-08-01,2022-05-01,12.51,0,,1,12.51,,-5.55,uk,false,28
4pssft0TgDfiQexjbe25lw==,game 3,166,2022-06-01,2022-06-01,14.76,1,14.76,,,,,ru,false,26
4pssft0TgDfiQexjbe25lw==,game 3,166,2022-07-01,2022-06-01,14.43,0,,,,,-0.33,ru,false,26
4pssft0TgDfiQexjbe25lw==,game 3,166,2022-08-01,2022-06-01,59.40,0,,1,59.40,44.97,,ru,false,26
4pssft0TgDfiQexjbe25lw==,game 3,166,2022-11-01,2022-06-01,37.80,0,,1,37.80,,,ru,false,26
54ouP7lBhVCeV8ftS1Oj4Q==,game 3,30,2022-11-01,2022-11-01,29.22,1,29.22,,,,,ru,false,21
54ouP7lBhVCeV8ftS1Oj4Q==,game 3,30,2022-12-01,2022-11-01,28.23,0,,1,28.23,,-0.99,ru,false,21
5a/eDajN+4bJdigfI5TWoQ==,game 3,0,2022-07-01,2022-07-01,12.87,1,12.87,1,12.87,,,ru,false,17
5fGaUgWk82R8c6U6A5d9pg==,game 3,0,2022-12-01,2022-12-01,17.28,1,17.28,1,17.28,,,uk,false,31
5n2VR2SS79K3vJ0/V2A8RQ==,game 3,39,2022-08-01,2022-08-01,47.13,1,47.13,,,,,ru,false,27
5n2VR2SS79K3vJ0/V2A8RQ==,game 3,39,2022-09-01,2022-08-01,32.04,0,,1,32.04,,-15.09,ru,false,27
6NexxpTuLaFmuoksJ0l8rg==,game 3,52,2022-10-01,2022-10-01,19.17,1,19.17,1,19.17,,,uk,false,24
6NexxpTuLaFmuoksJ0l8rg==,game 3,52,2022-12-01,2022-10-01,102.84,0,,1,102.84,,,uk,false,24
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-05-01,2022-05-01,22.74,1,22.74,,,,,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-06-01,2022-05-01,28.95,0,,,,6.21,,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-07-01,2022-05-01,118.83,0,,,,89.88,,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-08-01,2022-05-01,21.87,0,,,,,-96.96,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-09-01,2022-05-01,41.55,0,,,,19.68,,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-10-01,2022-05-01,151.68,0,,,,110.13,,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-11-01,2022-05-01,95.43,0,,,,,-56.25,uk,false,19
6We7zBO7mVbNxGEl/xPKVg==,game 3,214,2022-12-01,2022-05-01,75.81,0,,1,75.81,,-19.62,uk,false,19
/70HXakPPmIGA9K58CIOug==,game 3,18,2022-10-01,2022-10-01,15.48,1,15.48,,,,,uk,false,18
/70HXakPPmIGA9K58CIOug==,game 3,18,2022-11-01,2022-10-01,12.51,0,,1,12.51,,-2.97,uk,false,18
72brUr/DKItStlTen5pHYg==,game 3,226,2022-03-01,2022-03-01,24.15,1,24.15,1,24.15,,,uk,false,24
72brUr/DKItStlTen5pHYg==,game 3,226,2022-05-01,2022-03-01,19.92,0,,,,,,uk,false,24
72brUr/DKItStlTen5pHYg==,game 3,226,2022-06-01,2022-03-01,86.91,0,,,,66.99,,uk,false,24
