user_id,game_name,payment_date,revenue_amount_usd
KFO5m0KyIyGE1D5YZHC8Wg==,game 1,10/10/2022,12.84
IS/yKhM20myJT0Ua+1Rk1w==,game 1,11/24/2022,12.03
IS/yKhM20myJT0Ua+1Rk1w==,game 1,11/7/2022,18.51
KFO5m0KyIyGE1D5YZHC8Wg==,game 1,10/2/2022,12.87
TQKB6Cvy+PDZswNNa6Y8Yw==,game 1,12/13/2022,13.14
Sx/MqN31Cxf6tOSLIiDtLg==,game 2,7/6/2022,12.54
+uszcWROLhovU7doCmFOiQ==,game 2,10/14/2022,17.61
cf1ykPUohKTUjtI6cAMhVw==,game 2,10/10/2022,12.24
+uszcWROLhovU7doCmFOiQ==,game 2,8/23/2022,22.65
+uszcWROLhovU7doCmFOiQ==,game 2,10/18/2022,18.96
sthXYk64G/Zkc+7xA3xUbw==,game 2,10/18/2022,29.61
aujnuJ9eBYK+yGF15TtUkw==,game 2,10/24/2022,12.69
kAGCRMpNBghYDdEZ7r3Ptg==,game 2,8/22/2022,12.93
aujnuJ9eBYK+yGF15TtUkw==,game 2,9/7/2022,12.75
Sx/MqN31Cxf6tOSLIiDtLg==,game 2,7/8/2022,14.25
e6LTrwXMl/v1epsRPDa9Fg==,game 2,12/1/2022,15.93
sthXYk64G/Zkc+7xA3xUbw==,game 2,10/4/2022,17.85
aujnuJ9eBYK+yGF15TtUkw==,game 2,9/29/2022,20.82
fDgyPW0yy0+9ietMvl0vmA==,game 3,8/18/2022,15.87
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,8/9/2022,19.11
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,5/4/2022,35.82
nklUUkirU5GYU5ZtNOgx8w==,game 3,10/25/2022,18.57
06RPvlsFPCmM9ag+iSM/Ag==,game 3,8/14/2022,18.9
f9cWBjiN4c8lXAkBhdqK6Q==,game 3,10/25/2022,37.68
7L4SKPGMd33lnSOq6PWyYg==,game 3,12/4/2022,16.29
ngOdQ8biXsraLxTHS862fw==,game 3,7/2/2022,13.92
lHTzlMgVj6HJZc31yCCDng==,game 3,11/11/2022,14.73
FbbhrtuL39vfmatF2ObVfA==,game 3,11/28/2022,18.96
GetHmCsisRTAnwhuBEMa9Q==,game 3,12/3/2022,19.5
YC2fZQTQXV2UR1/WHDrVqw==,game 3,11/6/2022,17.4
e/6IajqZ922YY1rh2ErMJQ==,game 3,12/17/2022,13.5
dpfu6t8G4blqMn55KM8bSg==,game 3,5/23/2022,15.81
BOcGlFXXESDUbttxDzQIQw==,game 3,8/29/2022,17.49
QZBiEFECZAgVl5IkN9/cFw==,game 3,5/14/2022,14.64
orbgZNBGuhZZx63HTAbyIw==,game 3,9/23/2022,14.7
4oH5e29koOH9zNYW8Kwcsg==,game 3,7/6/2022,18.06
pLOCMIX+imLIzoDehgdOPA==,game 3,5/29/2022,21.09
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,9/25/2022,20.16
ZU1vF9G4TjB+iEZ001MU3g==,game 3,7/3/2022,22.2
wjWDL/+l9D+LVt/9gNMH5Q==,game 3,10/17/2022,23.67
2FYEYdoJMUOtbJ6TruruWA==,game 3,10/29/2022,18.96
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,10/30/2022,41.34
BOcGlFXXESDUbttxDzQIQw==,game 3,9/9/2022,17.43
e/6IajqZ922YY1rh2ErMJQ==,game 3,6/25/2022,18.36
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,7/29/2022,19.23
hi1ErLiMLDP0HWvMqLKv6g==,game 3,11/10/2022,19.71
RQBsCvxlogTNUidSygqgcQ==,game 3,8/4/2022,20.04
eLWkkjmSeHVGjb9tp+CJpQ==,game 3,8/5/2022,17.64
IdKyooyTjAbvCA7p+ujKCw==,game 3,5/13/2022,16.08
G9053rs6jbKItKUhrUdLew==,game 3,9/29/2022,12.54
GEAVJz1gd3SThbDZR01fcA==,game 3,7/4/2022,27.42
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,10/11/2022,15.33
Hamw6F2EZmJfI2glmE2NEg==,game 3,7/21/2022,16.29
xnLJlU804PSS9tXKmm7gZQ==,game 3,11/3/2022,12.87
jQW6YmVUlZdePPY7F9NgMg==,game 3,11/1/2022,12.96
WRx4ye0bvLc4925ketwxzQ==,game 3,12/25/2022,31.47
fvYhEtD56gROaXqCi9/z/Q==,game 3,10/7/2022,23.94
er3/fOrRpmyqiRaC0CaFcg==,game 3,6/13/2022,38.28
9I0ppB2UxsJPIO8BpHQfEw==,game 3,11/13/2022,13.95
9IWUQ1iWPfYSSN2tWuVqMQ==,game 3,6/24/2022,17.43
An7gG7hfETivAjfokQv3Ww==,game 3,9/8/2022,35.01
nklUUkirU5GYU5ZtNOgx8w==,game 3,11/22/2022,12.81
fDgyPW0yy0+9ietMvl0vmA==,game 3,11/16/2022,14.52
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,8/25/2022,19.17
crKNTIblJ0113SKEtSJQHw==,game 3,5/31/2022,25.29
Veep00i4vvZbTAVD6GMoiA==,game 3,10/6/2022,24.09
fH7uxifYBCx0TULRrcqajg==,game 3,12/26/2022,18.36
xZMY1f3dijkAd2lWkkI4Ow==,game 3,12/9/2022,24.69
72brUr/DKItStlTen5pHYg==,game 3,6/21/2022,25.2
F03P4YcFbbtcWUlujjIQmQ==,game 3,7/24/2022,18.27
1dvc3uv3gFy83YY5oJeFkQ==,game 3,8/19/2022,22.44
Veep00i4vvZbTAVD6GMoiA==,game 3,9/28/2022,18.93
HQB3hZuYcu0z8jVIl5bbug==,game 3,12/8/2022,22.26
ORSvkhCut21rsk0cVtJfJA==,game 3,12/11/2022,34.35
jVhb69DTRT5TSWYEiUrlbg==,game 3,6/21/2022,19.41
mRT725ZK68AhE3Sk9xH5cw==,game 3,12/5/2022,26.55
WRx4ye0bvLc4925ketwxzQ==,game 3,12/24/2022,24.69
75lEf3nSWLSf6GncqhR9gQ==,game 3,7/17/2022,15.06
JBV4ilPNTtWevrqq146kyg==,game 3,7/7/2022,17.43
TamEW7rhOwxDSDgAWZHDnQ==,game 3,12/15/2022,21.6
T+RA0/fgzbUBLF89D4AEDA==,game 3,7/12/2022,30.78
+osJakLn8jv4bzFmPieelw==,game 3,12/4/2022,16.32
gPRMy8HkmaiyX+13OxuP/A==,game 3,10/8/2022,38.22
eoqO46DzxSrKA2rredUNyQ==,game 3,10/20/2022,14.22
2FYEYdoJMUOtbJ6TruruWA==,game 3,8/2/2022,14.19
Yh9mYycPmc8CH9Rbjhu3ZQ==,game 3,9/25/2022,12.09
dUXVADLWvf2uvh+Q6TNrMw==,game 3,7/6/2022,12.15
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,11/8/2022,18.51
B4b6v6eUHvAVOeAQk6EEiw==,game 3,6/11/2022,17.13
6We7zBO7mVbNxGEl/xPKVg==,game 3,12/18/2022,30.9
7zai/c69uF/NhB95HgKuYw==,game 3,8/2/2022,18.33
