city,alias1,alias2,alias3,alias4,region,,
Abirim,,,,,North,,
Abu Amra,,,,,South,,
Abu Dis,,,,,Yosh,,
Abu Ghosh,Abu Gosh,,,,Jerusalem,,
Abu Krinat west of Kseifa,,,,,South,,
Abu Qrenat,,,,,North,,
Abu Snan,,,,,North,,
Abu Talul,Abu Talul and the Bedouin Diaspora,,,,South,,
Abu-Nuwar,,,,,Yosh,,
Abu-Rabia north of Kseifa,,,,,South,,Ashdod - Het
Achiezer,,,,,Center,,
Achihud,,,,,North,,
Achita,,,,,Yosh,,
Achva,,,,,Center,,
Achziv Miluot Industrial Zone,,,,,North,,
Ad Halom,Ad Halom Industrial Zone,,,,Center,,
Adanim,Adanim Youth Village,,,,Center,,
Adei Ad,,,,,Yosh,,
Aderet,,,,,Center,,
Adi,,,,,North,,
Adora,,,,,Yosh,,
Adorayim,,,,,Yosh,,
Afek,"Afek and Lev Ha""aretz Industrial Zone",,,,North,,
Afik,,,,,North,,
Afikim,,,,,North,,
Afula,,,,,North,,
Agrigada Factory,,,,,South,,
Agur,,,,,Center,,
Ahisemech,,,,,Haifa,,
Ahituv,,,,,Center,,
Ahuzam,,,,,Center,,
Ahuzat Barak,,,,,Center,,
Airport City,,,,,Center,,
Akko,Acco - Industrial Zone,Acre,Akko New Cemetery,,North,,
Al Arian,,,,,North,,
Al Azi,,,,,Center,,
Al Hail,,,,,South,,
Al Kaskar,,,,,South,,
Al Khawaled - West,,,,,Haifa,,
Alef,,,,,Center,,
Alfei Menashe,,,,,Center,,
Alkosh,,,,,North,,
Alma,,,,,North,,
Almagor,,,,,North,,
Almog,,,,,South,,
Almon,,,,,Yosh,,
Alon,,,,,Yosh,,
Alon HaGalil,,,,,North,,
Alon HaTavor Industrial Zone,,,,,North,,
Alon Shvut,,,,,Yosh,,
Alonei Abba,,,,,North,,
Alonei HaBashan,,,,,North,,
Alonei Itzhak,,,,,North,,
Alonim,,,,,North,,
AlSayid,,,,,South,,
Al-Sayyid and the Bedouin diaspora,,,,,South,,
Aluma,,,,,Center,,
Alumim,,,,,South,,
Alumot,,,,,North,,
al-Walja,,,,,Yosh,,
Amatz,,,,,Yosh,,
Amatzia,,,,,Yosh,,
Amiad,,,,,North,,
Amichai,,,,,Yosh,,
Amikam,,,,,North,,
Aminadav,,,,,Jerusalem,,
Amioz,,,,,South,,
Amir,,,,,North,,
Amirim,,,,,North,,
Amka,,,,,North,,
Amnon,,,,,North,,
Amnon Beach,,,,,North,,
Amuka,,,,,North,,
Anata,,,,,Yosh,,
Aniam,,,,,North,,
Arab Al Naim,,,,,North,,
Arab al-Aramshe,,,,,North,,
Arad,,,,,South,,
Ar'ara,,,,,North,,
Ar'ara BaNegev,,,,,North,,
Arara in the Negev,,,,,South,,
Arbel,,,,,North,,
Ardanel Ranch,,,,,South,,
Argaman,,,,,South,,
Ariel,,,,,Yosh,,
Ariel Industrial Park,,,,,Yosh,,
Aroer (Ar'ara BaNegev),,,,,South,,
Arraba,,,,,North,,
Arsuf,,,,,Tel Aviv,,
Arugot,,,,,Center,,
Asa'el,,,,,Yosh,,
Ashalim,,,,,South,,
Ashdod,Alef,Tet,Tet Vav,Yod Gimmel,Center,,
Ashdod,Ashdod - Northern Industrial Zone and port,12,15,17,Center,,
Ashdod,Ashdod-11,יא,Ashdod - Yod Alef,יב,Center,,
Ashdod,Ashdod - Gimmel,Ashdod - Gimmel,Yod,Yod Zain,Center,,
Ashdod,Yod Alef,Yod Bet,Yod Dalet,אשדוד,Center,,
Ashdod,טו,יז,מרינה,Dalet,Center,,
Ashdod,סיט** - אשדוד -יא,Marine,City,Te*,Center,,
Ashdod,Ashdod - Het,,,,Center,,
Ashdod Yacov Ichud,Ashdot Yaacov Meuhad,Ashdot Yaakov Meuhad,Ashdot Yaacov,,North,,
Ashkelon,Ashkelon Northern Industrial Zone,Ashkelon Southern Industrial Zone,Ashkelon Industrial Area,Ashqelon,South,,
Ashkelon,Ashkelon - North,Ashkelon - South,,,South,,
Asseret,,,,,Center,,
Atlit,,,,,Haifa,,
Atteret,,,,,Yosh,,
Atzmon (Segev),,,,,North,,
Avdon,,,,,North,,
Aviel,,,,,North,,
Aviezer,,,,,Yosh,,
Avigdor,,,,,Center,,
Avihail,,,,,Center,,
Avivim,,,,,North,,
Avnat,,,,,South,,
Avnei Eitan,,,,,South,,
Avnei Hefetz,,,,,Yosh,,
Avshalom,,,,,South,,
Avshalom Industries,,,,,South,,
Avtalion,,,,,North,,
Ayanot,,,,,Center,,
Ayelet HaShachar,,,,,North,,
Ayn al-Sahla,,,,,Haifa,,
A-Zaim,,,,,Yosh,,
Azaria,,,,,Center,,
Azor,,,,,Center,,
Azriel,,,,,Center,,
Azrikam,,,,,Center,,
Azur,,,,,Tel Aviv,,
Azuz,,,,,South,,
Bahan,,,,,Tel Aviv,,
Balfuria,,,,,North,,
Baqa al-Gharbiyye,,,,,Haifa,,
Bar Giora,,,,,Jerusalem,,
Bar Lev Industrial Zone,,,,,North,,
Bar On Industrial Zone,,,,,Yosh,,
Bar Yochai,,,,,North,,
Baram,,,,,North,,
Bareket,,,,,Center,,
Barkai,,,,,North,,
Barkan,Barkan Industrial Park,,,,Yosh,,
Bart'a,,,,,North,,
Basmat Tab'un,,,,,North,,
Bat Ayin,,,,,Yosh,,
Bat Chen,,,,,Center,,
Bat Hadar,,,,,Center,,
Bat Hefer,,,,,Center,,
Bat Shlomo,,,,,North,,
Bat Yam,Bat-Yam,,,,Tel Aviv,,
Batzra,,,,,Center,,
Be'er Ganim,,,,,Center,,
Be'er Milka,,,,,South,,
Be'er Ora,,,,,South,,
Be'er Tuvia,Be'er Tuvia Industrial Zone,,,,Center,,
Be'er Ya'akov,Be'er Yacov,Be'er Ya`aqov,,,Center,,
Be'ere Ganim,,,,,Center,,
Be'eri,,,,,South,,
Be'erot Itzhak,,,,,Center,,
Be'erotaim,,,,,Center,,
Beersheba,Beer Sheva,Beer Sheva - East,Beer Sheva - North,Beer Sheva - South,South,,
Beersheba,Beer Sheva - West,,,,South,,
Beit Alfa and Heftziba,,,,,North,,
Beit Arie,,,,,Yosh,,
Beit Arif,,,,,Center,,
Beit Berl,,,,,Center,,
Beit Dagan,,,,,Center,,
Beit Duko,,,,,Yosh,,
Beit El,,,,,Yosh,,
Beit Elazari,,,,,Center,,
Beit Ezra,,,,,Center,,
Beit Gamliel,,,,,Center,,
Beit Guvrin,,,,,Center,,
Beit HaArava,,,,,South,,
Beit HaEmek,,,,,North,,
Beit Hagai,,,,,Yosh,,
Beit HaGdi,N.A.M. Industrial Park,,,,South,,
Beit HaLevi,,,,,Haifa,,
Beit Hanan,,,,,Center,,
Beit Hanania,,,,,North,,
Beit Haniya,,,,,Yosh,,
Beit HaShita,,,,,North,,
Beit Hashmonai,,,,,Center,,
Beit Hazon,,,,,Center,,
Beit Herut,,,,,Center,,
Beit Hilkia,,,,,Center,,
Beit Hillel,,,,,North,,
Beit Horon,,,,,Yosh,,
